book_id,copy_count,access_type_sample
B_05c6aef003522b,2,
B_05ca023b6ba81c,1,
B_05cae86904c9db,1,
B_05cc3192b8943d,1,
B_05d13fe7741796,1,
B_05d95c55cb449a,1,
B_05dbd146813e19,1,
B_05dbe308763ce7,1,
B_05dfab724417aa,2,
B_05e0059abe466d,1,
B_05e080d9a02f5b,1,
B_05e117de79af9c,4,
B_05e51ec4dc40ab,2,
B_05e6bdc6960195,4,
B_05ef502f67038b,1,
B_05f0a52f47570d,1,
B_05f109c5624e9d,1,Dapat dipinjam
B_05f32309f14da6,2,
B_05faf974f38a13,1,
B_05febd568ed73c,2,
B_06056457280732,1,
B_06058d98c7574d,1,
B_060b772cd9d82f,1,
B_060e3547f607f3,2,
B_06100421650d7b,2,
B_0612e296257b6b,2,
B_061493ad3e6508,1,
B_0614b98d810836,1,
B_0615f0621d88c2,1,
B_0616e2e5080ad1,2,
B_0618f801a7c576,1,
B_061ace9a5b2d1e,1,
B_061cf42cfdedbe,1,
B_061d97f596dfb1,1,
B_061e6d632ca7f6,1,
B_0620d79d75a34a,1,
B_06215825194024,1,
B_0622b92abd4c74,1,
B_0623e4cc7ddd0d,1,
B_06272b5c797d25,2,
B_0629d0db0b8c44,1,
B_062ae416b10fa8,4,
B_062bc120d238f9,1,
B_062f33935b607c,1,
B_062ffa4e90493e,1,
B_06333f5527292d,1,
B_06368f0816d7eb,1,
B_063e813ae59e2f,1,
B_0642612192d1cb,1,
B_0643607f9485f5,1,
B_0645fd993bc349,1,
B_064711f9702fa1,1,
B_06480fadb2db6d,2,
B_06484cead09546,2,Dapat dipinjam
B_064b01eefeb2ed,2,
B_064b0fbdffcd01,1,
B_064ca103efa30f,2,
B_064cb06f621b06,1,
B_064e9755d3e595,1,
B_065039967076e5,1,
B_06588da8eb30cd,1,
B_065b18a88ac3fe,4,
B_065de810e8454a,2,
B_065e199f63659e,1,
B_0665fba323be2e,2,
B_066691c371bcd4,1,
B_0667f693ce6bba,1,
B_066b37c9be3493,1,
B_066b7e0ee58df4,1,
B_066e56d32445eb,2,
B_0671f1dee0453d,1,
B_06722a113c39a8,1,
B_06771e0fff00ef,4,
B_067ae7d53fe22f,1,
B_067bd6270a206e,1,
B_068043a9b8ce44,4,
B_0680a8b1b5b233,1,
B_0683116ac19021,1,
B_06850b9de8dc40,4,
B_06850d5c29796b,1,
B_06856125d0727d,1,
B_06858f5b9d210d,1,
B_06859e4f031746,1,
B_06860e5b7bec9e,2,
B_0686a70ce75381,1,
B_0687769b0441fe,1,
B_0688bf36cba60b,2,
B_068a3797e42d5d,1,
B_068d31fa9b6b15,4,
B_068d81e8f0aea9,3,
B_068fc010889553,1,
B_0690027d1d377a,2,
B_0692765903f37e,3,Dapat dipinjam
B_0696a0dbfd3b0c,1,
B_069737aa45f69b,1,
B_069b7d939720c9,4,
B_069fd4a881c54f,2,
B_06a1b9079f951c,1,
B_06a54b700bc99e,1,
B_06a603db5bac9f,4,
B_06a8988aac2059,1,
B_06ad585f10b3a3,1,
B_06b19ca865c51f,1,
B_06b91a4b251f68,1,
B_06b94d97b6e311,1,
B_06bbd51a4f8e62,2,
B_06c2e1abbb203a,2,
B_06c5031ffd02c4,1,
B_06c84f8ff8ccb5,2,
B_06c8aefae0f086,4,
B_06c8c4a229c2cf,1,
B_06c93bd5c461e7,1,
B_06cd55b337f0ac,2,
B_06d05631f73711,1,
B_06d0a7b128a5fb,1,
B_06d15bef4c3fdd,2,
B_06d4c6640bd95a,1,
B_06d83b380d19f5,4,
B_06d85915ee39be,2,
B_06d91cb106b1a1,4,
B_06d92120404b37,1,
B_06db85b860c493,1,
B_06dd4656663b49,1,
